Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
14.237	2000	14.237	17.32	14.237	0	14.237	3	14.237	0.07					
14.437	2000	14.437	17.32	14.437	0	14.437	3	14.437	0.05					
14.637	2000	14.637	17.32	14.637	0	14.637	3	14.637	0.07					
14.837	2000	14.837	17.32	14.837	0	14.837	3	14.837	0.07					
15.037	2000	15.037	17.32	15.037	0	15.037	3	15.037	0.07					
15.237	2000	15.237	17.32	15.237	0	15.237	3	15.237	0.07					
15.437	2000	15.437	17.32	15.437	0	15.437	3	15.437	0.07					
15.637	2000	15.637	17.32	15.637	0	15.637	3	15.637	0.07					
15.837	2000	15.837	17.32	15.837	0	15.837	3	15.837	0.05					
16.037	2000	16.037	17.32	16.037	0	16.037	3	16.037	0.07					
16.237	2000	16.237	17.32	16.237	0	16.237	3	16.237	0.07					
16.437	2000	16.437	17.32	16.437	0	16.437	3	16.437	0.07					
16.637	2000	16.637	17.32	16.637	0	16.637	3	16.637	0.07					
16.837	2000	16.837	17.31	16.837	0	16.837	3	16.837	0.07					
17.037	2000	17.037	17.31	17.037	0	17.037	3	17.037	0.07					
17.237	2000	17.237	17.31	17.237	0	17.237	3	17.237	0.07					
17.437	2000	17.437	17.31	17.437	0	17.437	3	17.437	0.07					
17.637	2000	17.637	17.31	17.637	0	17.637	3	17.637	0.07					
17.836	2000	17.836	17.31	17.836	0	17.836	3	17.836	0.07					
18.036	2000	18.036	17.31	18.036	0	18.036	3	18.036	0.07					
18.236	2000	18.236	17.31	18.236	0	18.236	3	18.236	0.07					
18.436	2000	18.436	17.31	18.436	0	18.436	3	18.436	0.07					
18.636	2000	18.636	17.3	18.636	0	18.636	3	18.636	0.07					
18.836	2000	18.836	17.3	18.836	0	18.836	3	18.836	0.07					
19.036	2000	19.036	17.3	19.036	0	19.036	3	19.036	0.08					
19.236	2000	19.236	17.3	19.236	0	19.236	3	19.236	0.08					
19.436	2000	19.436	17.3	19.436	0	19.436	3	19.436	0.07					
19.636	2000	19.636	17.3	19.636	0	19.636	3	19.636	0.07					
19.836	2000	19.836	17.29	19.836	0	19.836	3	19.836	0.07					
20.036	2000	20.036	17.29	20.036	0	20.036	3	20.036	0.07					
20.236	2000	20.236	17.28433	20.236	0	20.236	3	20.236	0.07					
20.436	2000	20.436	17.28	20.436	0	20.436	3	20.436	0.07					
20.636	2000	20.636	17.28	20.636	0	20.636	3	20.636	0.07					
20.836	2000	20.836	17.28	20.836	0	20.836	3	20.836	0.07					
21.036	2000	21.036	17.28	21.036	0	21.036	3	21.036	0.07					
21.236	2000	21.236	17.28	21.236	0	21.236	3	21.236	0.07					
21.436	2000	21.436	17.28	21.436	0	21.436	3	21.436	0.07					
21.636	2000	21.636	17.28	21.636	0	21.636	3	21.636	0.07					
21.836	2000	21.836	17.28	21.836	0	21.836	3	21.836	0.07					
22.036	2000	22.036	17.28	22.036	0	22.036	3	22.036	0.07					
22.236	2000	22.236	17.28	22.236	0	22.236	3	22.236	0.07					
