Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
136.213	9.686198	136.213	16.85873	136.213	0	136.213	3	136.213	0.05					
136.413	9.791204	136.413	16.95	136.413	0	136.413	3	136.413	0.05					
136.612	9.651063	136.612	17.01	136.612	0	136.612	3	136.612	0.05					
136.812	9.44	136.812	17.06901	136.812	0	136.812	3	136.812	0.05					
137.012	9.2	137.012	17.11907	137.012	0	137.012	3	137.012	0.05					
137.212	8.971741	137.212	17.15	137.212	0	137.212	3	137.212	0.05					
137.412	8.66404	137.412	17.18	137.412	0	137.412	3	137.412	0.05					
137.612	8.410748	137.612	17.2	137.612	0	137.612	3	137.612	0.05					
137.812	8.15	137.812	17.21	137.812	0	137.812	3	137.812	0.04					
138.012	7.89	138.012	17.22	138.012	0	138.012	3	138.012	0.04					
138.212	7.590565	138.212	17.23	138.212	0	138.212	3	138.212	0.05					
138.412	7.282012	138.412	17.24	138.412	0	138.412	3	138.412	0.05					
138.612	6.990885	138.612	17.25	138.612	0	138.612	3	138.612	0.04					
138.812	6.72	138.812	17.25	138.812	0	138.812	3	138.812	0.04					
139.012	6.45	139.012	17.26	139.012	0	139.012	3	139.012	0.05					
139.212	6.200168	139.212	17.27	139.212	0	139.212	3	139.212	0.05					
139.412	5.960275	139.412	17.27	139.412	0	139.412	3	139.412	0.04					
139.612	5.710092	139.612	17.28	139.612	0	139.612	3	139.612	0.05					
139.812	5.47	139.812	17.28002	139.812	0	139.812	3	139.812	0.05					
140.012	5.239908	140.012	17.29	140.012	0	140.012	3	140.012	0.05					
140.212	5.01945	140.212	17.3	140.212	0	140.212	3	140.212	0.05					
140.412	4.749404	140.412	17.3	140.412	0	140.412	3	140.412	0.04					
140.612	4.49	140.612	17.31	140.612	0	140.612	3	140.612	0.05					
140.812	4.26	140.812	17.31	140.812	0	140.812	3	140.812	0.05					
141.012	4.049511	141.012	17.31	141.012	0	141.012	3	141.012	0.05					
141.212	3.838931	141.212	17.31	141.212	0	141.212	3	141.212	0.05					
141.412	3.60878	141.412	17.31	141.412	0	141.412	3	141.412	0.05					
141.612	3.38	141.612	17.31	141.612	0	141.612	3	141.612	0.05					
141.812	3.22	141.812	17.31	141.812	0	141.812	3	141.812	0.05					
142.012	3.09	142.012	17.3	142.012	0	142.012	3	142.012	0.04					
142.212	2.95	142.212	17.3	142.212	0	142.212	3	142.212	0.05					
142.412	2.839099	142.412	17.3	142.412	0	142.412	3	142.412	0.05					
142.611	2.73	142.611	17.3	142.611	0	142.611	3	142.611	0.05					
142.811	2.66	142.811	17.31	142.811	0	142.811	3	142.811	0.05					
143.011	2.62	143.011	17.31	143.011	0	143.011	3	143.011	0.04					
143.211	2.518763	143.211	17.31	143.211	0	143.211	3	143.211	0.05					
143.411	2.428689	143.411	17.31	143.411	0	143.411	3	143.411	0.04					
143.611	2.42	143.611	17.31	143.611	0	143.611	3	143.611	0.04					
143.811	2.39	143.811	17.31	143.811	0	143.811	3	143.811	0.05					
144.011	2.39	144.011	17.31	144.011	0	144.011	3	144.011	0.05					
144.211	2.401542	144.211	17.3	144.211	0	144.211	3	144.211	0.05					
144.411	2.38	144.411	17.3	144.411	0	144.411	3	144.411	0.04					
144.611	2.378305	144.611	17.3	144.611	0	144.611	3	144.611	0.04					
144.811	2.36	144.811	17.3	144.811	0	144.811	3	144.811	0.04					
145.011	2.34	145.011	17.3	145.011	0	145.011	3	145.011	0.04					
145.211	1.89	145.211	17.31	145.211	20	145.211	3	145.211	0.03					
145.411	2.02	145.411	17.31	145.411	20	145.411	3	145.411	0.05					
145.611	2.22	145.611	17.31	145.611	20	145.611	3	145.611	0.05					
145.811	2.46	145.811	17.31	145.811	20	145.811	3	145.811	0.05					
146.011	2.64	146.011	17.3	146.011	20	146.011	3	146.011	0.05					
146.211	2.72	146.211	17.3	146.211	20	146.211	3	146.211	0.05					
146.411	2.72	146.411	17.29	146.411	20	146.411	3	146.411	0.04					
146.611	2.71	146.611	17.29	146.611	20	146.611	3	146.611	0.04					
146.811	2.82	146.811	17.28	146.811	20	146.811	3	146.811	0.05					
147.011	2.98	147.011	17.29	147.011	20	147.011	3	147.011	0.05					
147.211	3.01	147.211	17.29	147.211	20	147.211	3	147.211	0.05					
147.411	2.907283	147.411	17.3	147.411	20	147.411	3	147.411	0.05					
147.611	2.79	147.611	17.3	147.611	20	147.611	3	147.611	0.05					
147.811	2.72	147.811	17.3	147.811	20	147.811	3	147.811	0.05					
148.011	2.66	148.011	17.3	148.011	20	148.011	3	148.011	0.05					
148.211	2.6	148.211	17.31	148.211	20	148.211	3	148.211	0.05					
148.411	2.556982	148.411	17.31	148.411	20	148.411	3	148.411	0.04					
148.61	2.54	148.61	17.3	148.61	20	148.61	3	148.61	0.05					
148.81	2.53	148.81	17.3	148.81	20	148.81	3	148.81	0.05					
149.01	2.55	149.01	17.3	149.01	20	149.01	3	149.01	0.05					
149.21	2.54	149.21	17.3	149.21	20	149.21	3	149.21	0.05					
149.41	2.53	149.41	17.31	149.41	20	149.41	3	149.41	0.05					
149.61	2.56	149.61	17.31	149.61	20	149.61	3	149.61	0.05					
149.81	2.6	149.81	17.31	149.81	20	149.81	3	149.81	0.05					
150.01	2.67	150.01	17.31	150.01	20	150.01	3	150.01	0.05					
150.21	2.783664	150.21	17.32	150.21	20	150.21	3	150.21	0.05					
150.41	2.974878	150.41	17.32	150.41	20	150.41	3	150.41	0.05					
150.61	3.271359	150.61	17.32	150.61	20	150.61	3	150.61	0.05					
150.81	3.79	150.81	17.32	150.81	20	150.81	3	150.81	0.05					
151.01	4.72	151.01	17.33	151.01	20	151.01	3	151.01	0.05					
151.21	6.376631	151.21	17.37	151.21	20	151.21	3	151.21	0.05					
151.41	9.407329	151.41	17.44	151.41	20	151.41	3	151.41	0.04					
151.61	20.99278	151.61	17.55	151.61	20	151.61	3	151.61	0.05					
151.81	83.32	151.81	17.66	151.81	20	151.81	3	151.81	0.05					
152.01	280	152.01	17.8043	152.01	20	152.01	3	152.01	0.05					
152.21	779.49	152.21	17.91438	152.21	20	152.21	3	152.21	0.05					
152.41	1510.488	152.41	17.99	152.41	20	152.41	3	152.41	0.05					
152.61	1965.308	152.61	18.02	152.61	20	152.61	3	152.61	0.05					
152.81	2000	152.81	18.02	152.81	20	152.81	3	152.81	0.05					
153.01	2000	153.01	17.9853	153.01	20	153.01	3	153.01	0.05					
153.21	2000	153.21	17.91523	153.21	20	153.21	3	153.21	0.05					
153.41	2000	153.41	17.87	153.41	20	153.41	3	153.41	0.05					
153.61	2000	153.61	17.85	153.61	20	153.61	3	153.61	0.05					
153.81	2000	153.81	17.87	153.81	20	153.81	3	153.81	0.05					
154.01	2000	154.01	17.94	154.01	20	154.01	3	154.01	0.05					
154.21	2000	154.21	18.01508	154.21	20	154.21	3	154.21	0.05					
154.41	2000	154.41	18.11513	154.41	20	154.41	3	154.41	0.05					
154.609	2000	154.609	18.2	154.609	20	154.609	3	154.609	0.05					
154.809	2000	154.809	18.3	154.809	20	154.809	3	154.809	0.05					
155.009	1999.99	155.009	18.37	155.009	20	155.009	3	155.009	0.05					
155.209	1938.32	155.209	18.46096	155.209	20	155.209	3	155.209	0.05					
155.409	1758.471	155.409	18.52553	155.409	20	155.409	3	155.409	0.05					
155.609	1480.321	155.609	18.6	155.609	20	155.609	3	155.609	0.05					
155.809	1223.217	155.809	18.66	155.809	20	155.809	3	155.809	0.05					
156.009	1009.17	156.009	18.71	156.009	20	156.009	3	156.009	0.05					
156.209	826.94	156.209	18.75578	156.209	20	156.209	3	156.209	0.05					
156.409	672.8708	156.409	18.8	156.409	20	156.409	3	156.409	0.05					
156.609	541.0081	156.609	18.83	156.609	20	156.609	3	156.609	0.05					
156.809	432.5847	156.809	18.86	156.809	20	156.809	3	156.809	0.05					
157.009	348.54	157.009	18.88	157.009	20	157.009	3	157.009	0.05					
157.209	286.03	157.209	18.9	157.209	20	157.209	3	157.209	0.05					
157.409	233.85	157.409	18.91	157.409	20	157.409	3	157.409	0.05					
157.609	190.6303	157.609	18.92	157.609	20	157.609	3	157.609	0.05					
157.809	157.8264	157.809	18.92	157.809	20	157.809	3	157.809	0.05					
158.009	133.25	158.009	18.92	158.009	20	158.009	3	158.009	0.05					
158.209	115.72	158.209	18.92	158.209	20	158.209	3	158.209	0.05					
158.409	102.26	158.409	18.92	158.409	20	158.409	3	158.409	0.05					
158.609	91.00598	158.609	18.92	158.609	20	158.609	3	158.609	0.05					
158.809	82.41047	158.809	18.91	158.809	20	158.809	3	158.809	0.05					
159.009	76.51823	159.009	18.91	159.009	20	159.009	3	159.009	0.05					
159.209	72.09	159.209	18.91	159.209	20	159.209	3	159.209	0.04					
159.409	68.63	159.409	18.9	159.409	20	159.409	3	159.409	0.05					
159.609	65.86307	159.609	18.9	159.609	20	159.609	3	159.609	0.05					
159.809	63.68501	159.809	18.89	159.809	20	159.809	3	159.809	0.05					
160.009	61.99017	160.009	18.89	160.009	20	160.009	3	160.009	0.05					
160.209	60.66	160.209	18.88281	160.209	20	160.209	3	160.209	0.05					
160.408	59.59	160.408	18.88	160.408	20	160.408	3	160.408	0.05					
160.608	58.66809	160.608	18.88	160.608	20	160.608	3	160.608	0.05					
160.808	57.92558	160.808	18.88	160.808	20	160.808	3	160.808	0.05					
161.008	57.36994	161.008	18.88	161.008	20	161.008	3	161.008	0.05					
161.208	56.87	161.208	18.88	161.208	20	161.208	3	161.208	0.05					
161.408	56.48	161.408	18.88	161.408	20	161.408	3	161.408	0.05					
161.608	56.16	161.608	18.88	161.608	20	161.608	3	161.608	0.05					
161.808	55.88892	161.808	18.88	161.808	20	161.808	3	161.808	0.05					
162.008	55.60436	162.008	18.89	162.008	20	162.008	3	162.008	0.05					
162.208	55.33	162.208	18.89	162.208	20	162.208	3	162.208	0.05					
162.408	55.1	162.408	18.89	162.408	20	162.408	3	162.408	0.05					
162.608	54.86	162.608	18.89	162.608	20	162.608	3	162.608	0.05					
162.808	54.63192	162.808	18.88	162.808	20	162.808	3	162.808	0.05					
163.008	54.50531	163.008	18.88	163.008	20	163.008	3	163.008	0.05					
163.208	54.36	163.208	18.88	163.208	20	163.208	3	163.208	0.05					
163.408	54.2	163.408	18.88	163.408	20	163.408	3	163.408	0.05					
163.608	54.1	163.608	18.88	163.608	20	163.608	3	163.608	0.05					
163.808	53.94152	163.808	18.88	163.808	20	163.808	3	163.808	0.05					
164.008	53.83	164.008	18.88	164.008	20	164.008	3	164.008	0.05					
164.208	53.7114	164.208	18.88	164.208	20	164.208	3	164.208	0.05					
164.408	53.63	164.408	18.88	164.408	20	164.408	3	164.408	0.05					
164.608	53.49	164.608	18.88	164.608	20	164.608	3	164.608	0.05					
164.808	53.33244	164.808	18.89	164.808	20	164.808	3	164.808	0.05					
165.008	53.21213	165.008	18.89	165.008	20	165.008	3	165.008	0.05					
165.208	53.15	165.208	18.89	165.208	20	165.208	3	165.208	0.05					
165.408	53.06	165.408	18.9	165.408	20	165.408	3	165.408	0.05					
165.608	53.01	165.608	18.91	165.608	20	165.608	3	165.608	0.05					
165.808	52.95	165.808	18.91	165.808	20	165.808	3	165.808	0.05					
166.008	52.86153	166.008	18.92	166.008	20	166.008	3	166.008	0.05					
166.208	52.1893	166.208	18.93	166.208	40	166.208	3	166.208	0.03					
166.407	52.29	166.407	18.93	166.407	40	166.407	3	166.407	0.04					
166.607	52.45	166.607	18.92	166.607	40	166.607	3	166.607	0.05					
166.807	52.54	166.807	18.92	166.807	40	166.807	3	166.807	0.05					
167.007	52.54	167.007	18.91	167.007	40	167.007	3	167.007	0.04					
167.207	52.50031	167.207	18.9	167.207	40	167.207	3	167.207	0.04					
167.407	52.44	167.407	18.9	167.407	40	167.407	3	167.407	0.05					
167.607	52.36	167.607	18.9	167.607	40	167.607	3	167.607	0.04					
167.807	52.3	167.807	18.89	167.807	40	167.807	3	167.807	0.05					
168.007	52.21009	168.007	18.89	168.007	40	168.007	3	168.007	0.05					
168.207	52.09	168.207	18.89	168.207	40	168.207	3	168.207	0.05					
168.407	51.96	168.407	18.89	168.407	40	168.407	3	168.407	0.05					
168.607	51.8	168.607	18.89	168.607	40	168.607	3	168.607	0.05					
168.807	51.63982	168.807	18.89	168.807	40	168.807	3	168.807	0.0401849					
169.007	51.52895	169.007	18.89	169.007	40	169.007	3	169.007	0.05					
169.207	51.4196	169.207	18.9	169.207	40	169.207	3	169.207	0.05					
169.407	51.28	169.407	18.9	169.407	40	169.407	3	169.407	0.05					
169.607	51.18	169.607	18.9	169.607	40	169.607	3	169.607	0.0689313					
169.807	51.07	169.807	18.9	169.807	40	169.807	3	169.807	0.05					
170.007	50.98	170.007	18.9	170.007	40	170.007	3	170.007	0.05					
170.207	50.9107	170.207	18.9	170.207	40	170.207	3	170.207	0.04					
170.407	50.86	170.407	18.9	170.407	40	170.407	3	170.407	0.05					
170.607	50.85	170.607	18.9	170.607	40	170.607	3	170.607	0.05					
170.807	50.75901	170.807	18.9	170.807	40	170.807	3	170.807	0.05					
171.007	50.62809	171.007	18.9	171.007	40	171.007	3	171.007	0.05					
171.207	50.5378	171.207	18.89	171.207	40	171.207	3	171.207	0.05					
171.407	50.42	171.407	18.89	171.407	40	171.407	3	171.407	0.05					
171.607	50.35	171.607	18.89	171.607	40	171.607	3	171.607	0.06752672					
171.807	50.3	171.807	18.89	171.807	40	171.807	3	171.807	0.04871756					
172.007	50.37407	172.007	18.92	172.007	40	172.007	3	172.007	0.05					
172.207	50.82983	172.207	18.96	172.207	40	172.207	3	172.207	0.05					
172.406	52.06	172.406	19.05	172.406	40	172.406	3	172.406	0.05					
172.606	54.25	172.606	19.15154	172.606	40	172.606	3	172.606	0.05					
172.806	57.43429	172.806	19.30317	172.806	40	172.806	3	172.806	0.04841221					
173.006	61.38167	173.006	19.47	173.006	40	173.006	3	173.006	0.04166666					
173.206	66.13368	173.206	19.64	173.206	40	173.206	3	173.206	0.05					
173.406	71.02	173.406	19.81	173.406	40	173.406	3	173.406	0.05					
173.606	75.43	173.606	19.96	173.606	40	173.606	3	173.606	0.05					
173.806	79.66	173.806	20.07397	173.806	40	173.806	3	173.806	0.05					
174.006	83.47643	174.006	20.19206	174.006	40	174.006	3	174.006	0.05					
174.206	87.13338	174.206	20.26	174.206	40	174.206	3	174.206	0.05					
174.406	90.353	174.406	20.32	174.406	40	174.406	3	174.406	0.05					
174.606	92.86	174.606	20.36	174.606	40	174.606	3	174.606	0.05					
174.806	94.96	174.806	20.39	174.806	40	174.806	3	174.806	0.05					
175.006	96.71704	175.006	20.41	175.006	40	175.006	3	175.006	0.05					
175.206	98.17786	175.206	20.43	175.206	40	175.206	3	175.206	0.05					
175.406	99.25031	175.406	20.44	175.406	40	175.406	3	175.406	0.05					
175.606	99.96	175.606	20.44	175.606	40	175.606	3	175.606	0.05					
175.806	100.42	175.806	20.45	175.806	40	175.806	3	175.806	0.04					
176.006	100.7428	176.006	20.45	176.006	40	176.006	3	176.006	0.05					
176.206	100.9557	176.206	20.45	176.206	40	176.206	3	176.206	0.05					
176.406	101.1029	176.406	20.45	176.406	40	176.406	3	176.406	0.05					
176.606	101.12	176.606	20.45	176.606	40	176.606	3	176.606	0.05					
176.806	101.08	176.806	20.46	176.806	40	176.806	3	176.806	0.05					
177.006	101.03	177.006	20.46	177.006	40	177.006	3	177.006	0.05					
177.206	100.9568	177.206	20.46	177.206	40	177.206	3	177.206	0.05					
177.406	100.8367	177.406	20.46	177.406	40	177.406	3	177.406	0.05					
177.606	100.67	177.606	20.46	177.606	40	177.606	3	177.606	0.05					
177.806	100.53	177.806	20.46	177.806	40	177.806	3	177.806	0.05					
178.006	100.39	178.006	20.46	178.006	40	178.006	3	178.006	0.05					
178.206	100.2529	178.206	20.45	178.206	40	178.206	3	178.206	0.05					
178.405	100.0964	178.405	20.45	178.405	40	178.405	3	178.405	0.05					
178.605	99.94	178.605	20.46	178.605	40	178.605	3	178.605	0.05					
178.805	99.82	178.805	20.46	178.805	40	178.805	3	178.805	0.05					
179.005	99.73	179.005	20.46	179.005	40	179.005	3	179.005	0.05					
179.205	99.64606	179.205	20.46	179.205	40	179.205	3	179.205	0.05					
179.405	99.56805	179.405	20.46	179.405	40	179.405	3	179.405	0.05					
179.605	99.42	179.605	20.45	179.605	40	179.605	3	179.605	0.05					
179.805	99.27	179.805	20.45	179.805	40	179.805	3	179.805	0.05					
180.005	99.14	180.005	20.45	180.005	40	180.005	3	180.005	0.05					
180.205	98.98	180.205	20.44	180.205	40	180.205	3	180.205	0.05					
180.405	98.79572	180.405	20.44	180.405	40	180.405	3	180.405	0.05					
180.605	98.73	180.605	20.44	180.605	40	180.605	3	180.605	0.05					
180.805	98.67	180.805	20.45	180.805	40	180.805	3	180.805	0.05					
181.005	98.61	181.005	20.45	181.005	40	181.005	3	181.005	0.05					
181.205	98.63	181.205	20.46	181.205	40	181.205	3	181.205	0.05					
181.405	98.59063	181.405	20.46	181.405	40	181.405	3	181.405	0.05					
181.605	98.55	181.605	20.46	181.605	40	181.605	3	181.605	0.04					
181.805	98.5	181.805	20.46	181.805	40	181.805	3	181.805	0.04481707					
182.005	98.46	182.005	20.46	182.005	40	182.005	3	182.005	0.05					
182.205	98.39493	182.205	20.46	182.205	40	182.205	3	182.205	0.05					
182.405	98.33501	182.405	20.46	182.405	40	182.405	3	182.405	0.05					
182.605	98.28494	182.605	20.47	182.605	40	182.605	3	182.605	0.05					
182.805	98.24	182.805	20.47	182.805	40	182.805	3	182.805	0.04487805					
183.005	98.13	183.005	20.47	183.005	40	183.005	3	183.005	0.04					
183.205	98.02	183.205	20.48	183.205	40	183.205	3	183.205	0.04528505					
183.405	97.90922	183.405	20.48	183.405	40	183.405	3	183.405	0.05					
183.605	97.8	183.605	20.48	183.605	40	183.605	3	183.605	0.05					
183.805	97.72	183.805	20.48	183.805	40	183.805	3	183.805	0.05					
184.005	97.67	184.005	20.48	184.005	40	184.005	3	184.005	0.05					
184.204	97.61	184.204	20.47436	184.204	40	184.204	3	184.204	0.05					
184.404	97.52428	184.404	20.47	184.404	40	184.404	3	184.404	0.05					
184.604	97.44849	184.604	20.47	184.604	40	184.604	3	184.604	0.04424427					
184.804	97.32	184.804	20.47	184.804	40	184.804	3	184.804	0.05					
185.004	97.23	185.004	20.47	185.004	40	185.004	3	185.004	0.04587786					
185.204	97.19	185.204	20.47	185.204	40	185.204	3	185.204	0.05					
185.404	97.19	185.404	20.47	185.404	40	185.404	3	185.404	0.05					
185.604	97.10768	185.604	20.47	185.604	40	185.604	3	185.604	0.05					
185.804	97.03	185.804	20.47	185.804	40	185.804	3	185.804	0.05					
186.004	96.99	186.004	20.47	186.004	40	186.004	3	186.004	0.05					
186.204	96.93	186.204	20.47	186.204	40	186.204	3	186.204	0.05					
186.404	96.84358	186.404	20.47	186.404	40	186.404	3	186.404	0.05					
186.604	96.75354	186.604	20.46	186.604	40	186.604	3	186.604	0.04645802					
186.804	96.65348	186.804	20.46	186.804	40	186.804	3	186.804	0.05					
187.004	96.54	187.004	20.46	187.004	40	187.004	3	187.004	0.05					
187.204	96.46	187.204	20.46	187.204	40	187.204	3	187.204	0.05					
187.404	96.39	187.404	20.46	187.404	40	187.404	3	187.404	0.05					
187.604	96.36	187.604	20.46	187.604	40	187.604	3	187.604	0.05					
187.804	96.30307	187.804	20.47	187.804	40	187.804	3	187.804	0.0430687					
188.004	96.28	188.004	20.47	188.004	40	188.004	3	188.004	0.05					
188.204	96.29	188.204	20.47	188.204	40	188.204	3	188.204	0.05					
188.404	96.31	188.404	20.47	188.404	40	188.404	3	188.404	0.05					
188.604	96.27	188.604	20.47	188.604	40	188.604	3	188.604	0.05					
188.804	96.25	188.804	20.47	188.804	40	188.804	3	188.804	0.05					
189.004	96.25	189.004	20.47	189.004	40	189.004	3	189.004	0.05					
189.204	96.22	189.204	20.47	189.204	40	189.204	3	189.204	0.05					
189.404	96.21	189.404	20.46249	189.404	40	189.404	3	189.404	0.05					
189.604	96.18244	189.604	20.46	189.604	40	189.604	3	189.604	0.05					
189.804	96.16	189.804	20.46	189.804	40	189.804	3	189.804	0.05					
190.004	96.14	190.004	20.45	190.004	40	190.004	3	190.004	0.05					
190.203	96.09	190.203	20.45	190.203	40	190.203	3	190.203	0.05					
190.403	96.07	190.403	20.45	190.403	40	190.403	3	190.403	0.05					
190.603	96.02786	190.603	20.45	190.603	40	190.603	3	190.603	0.05					
190.803	95.97	190.803	20.45	190.803	40	190.803	3	190.803	0.05					
191.003	95.952	191.003	20.46	191.003	40	191.003	3	191.003	0.05					
191.203	95.96	191.203	20.46	191.203	40	191.203	3	191.203	0.05					
191.403	95.97	191.403	20.47	191.403	100	191.403	3	191.403	0.05					
191.603	95.96	191.603	20.47	191.603	100	191.603	3	191.603	0.05					
191.803	95.94	191.803	20.47	191.803	100	191.803	3	191.803	0.05					
192.003	95.95	192.003	20.47	192.003	100	192.003	3	192.003	0.05					
192.203	95.92	192.203	20.47	192.203	100	192.203	3	192.203	0.05					
192.403	95.9	192.403	20.48	192.403	100	192.403	3	192.403	0.05					
192.603	95.9	192.603	20.48	192.603	100	192.603	3	192.603	0.05					
192.803	95.89	192.803	20.48	192.803	100	192.803	3	192.803	0.05					
193.003	95.8713	193.003	20.48	193.003	100	193.003	3	193.003	0.05					
193.203	95.87	193.203	20.47	193.203	100	193.203	3	193.203	0.05					
193.403	95.86	193.403	20.47	193.403	100	193.403	3	193.403	0.05					
193.603	95.85	193.603	20.47	193.603	100	193.603	3	193.603	0.05					
193.803	95.83	193.803	20.47	193.803	100	193.803	3	193.803	0.05					
194.003	95.82	194.003	20.47	194.003	100	194.003	3	194.003	0.05					
194.203	95.82	194.203	20.47	194.203	100	194.203	3	194.203	0.05					
194.403	95.8	194.403	20.47	194.403	100	194.403	3	194.403	0.05					
194.603	95.77	194.603	20.48	194.603	100	194.603	3	194.603	0.05					
194.803	95.72935	194.803	20.48	194.803	100	194.803	3	194.803	0.05					
195.003	95.71951	195.003	20.48	195.003	100	195.003	3	195.003	0.05					
195.203	95.71	195.203	20.48	195.203	100	195.203	3	195.203	0.05					
195.403	95.69	195.403	20.48	195.403	100	195.403	3	195.403	0.05					
195.603	95.72	195.603	20.48	195.603	100	195.603	3	195.603	0.05					
195.803	95.75	195.803	20.47026	195.803	100	195.803	3	195.803	0.05					
196.003	95.7798	196.003	20.47	196.003	100	196.003	3	196.003	0.05					
196.202	95.82	196.202	20.47	196.202	100	196.202	3	196.202	0.05					
196.402	95.87	196.402	20.47	196.402	100	196.402	3	196.402	0.05					
196.602	95.91	196.602	20.46	196.602	100	196.602	3	196.602	0.05					
196.802	95.90996	196.802	20.46	196.802	100	196.802	3	196.802	0.05					
197.002	95.9201	197.002	20.48	197.002	100	197.002	3	197.002	0.05					
197.202	96.17	197.202	20.51	197.202	100	197.202	3	197.202	0.05					
197.402	97.01	197.402	20.59096	197.402	100	197.402	3	197.402	0.05					
197.602	99.18594	197.602	20.79079	197.602	100	197.602	3	197.602	0.05					
197.802	103.8176	197.802	21.09	197.802	100	197.802	3	197.802	0.05					
198.002	112.1628	198.002	21.41	198.002	100	198.002	3	198.002	0.05					
198.202	123.34	198.202	21.89	198.202	100	198.202	3	198.202	0.05					
198.402	135.56	198.402	22.32313	198.402	100	198.402	3	198.402	0.05					
198.602	149.2924	198.602	22.87351	198.602	100	198.602	3	198.602	0.05					
198.802	163.1629	198.802	23.34	198.802	100	198.802	3	198.802	0.07					
199.002	177.7471	199.002	23.75	199.002	100	199.002	3	199.002	0.05					
199.202	191.42	199.202	24.05	199.202	100	199.202	3	199.202	0.05					
199.402	202.14	199.402	24.33	199.402	100	199.402	3	199.402	0.05					
199.602	211.04	199.602	24.4922	199.602	100	199.602	3	199.602	0.05					
199.802	218.3459	199.802	24.63	199.802	100	199.802	3	199.802	0.05					
200.002	224.4942	200.002	24.72	200.002	100	200.002	3	200.002	0.05					
200.202	229.32	200.202	24.77	200.202	100	200.202	3	200.202	0.05					
200.402	232.47	200.402	24.8	200.402	100	200.402	3	200.402	0.05					
200.602	234.69	200.602	24.8214	200.602	100	200.602	3	200.602	0.05					
200.802	236.343	200.802	24.84	200.802	100	200.802	3	200.802	0.05					
201.002	237.5214	201.002	24.85	201.002	100	201.002	3	201.002	0.05					
201.202	238.3132	201.202	24.86	201.202	100	201.202	3	201.202	0.07					
201.402	238.87	201.402	24.87	201.402	100	201.402	3	201.402	0.05					
201.602	239.23	201.602	24.87	201.602	100	201.602	3	201.602	0.05					
201.802	239.38	201.802	24.88	201.802	100	201.802	3	201.802	0.05					
202.002	239.48	202.002	24.88	202.002	100	202.002	3	202.002	0.05					
202.201	239.53	202.201	24.88	202.201	100	202.201	3	202.201	0.05					
202.401	239.54	202.401	24.88	202.401	100	202.401	3	202.401	0.05					
202.601	239.5	202.601	24.88	202.601	100	202.601	3	202.601	0.05					
202.801	239.4879	202.801	24.88	202.801	100	202.801	3	202.801	0.05					
203.001	239.4522	203.001	24.88	203.001	100	203.001	3	203.001	0.05					
203.201	239.3977	203.201	24.89	203.201	100	203.201	3	203.201	0.05					
203.401	239.32	203.401	24.89	203.401	100	203.401	3	203.401	0.05					
203.601	239.26	203.601	24.89	203.601	100	203.601	3	203.601	0.05					
203.801	239.2	203.801	24.89	203.801	100	203.801	3	203.801	0.05					
204.001	239.1374	204.001	24.9	204.001	100	204.001	3	204.001	0.05					
204.201	239.08	204.201	24.9	204.201	100	204.201	3	204.201	0.05					
204.401	239.02	204.401	24.9	204.401	100	204.401	3	204.401	0.05					
204.601	238.99	204.601	24.9	204.601	100	204.601	3	204.601	0.05					
204.801	238.95	204.801	24.9	204.801	100	204.801	3	204.801	0.05					
205.001	238.91	205.001	24.9	205.001	100	205.001	3	205.001	0.05					
205.201	238.867	205.201	24.9	205.201	100	205.201	3	205.201	0.05					
205.401	238.8	205.401	24.89	205.401	100	205.401	3	205.401	0.05					
205.601	238.75	205.601	24.89	205.601	100	205.601	3	205.601	0.05					
205.801	238.69	205.801	24.89	205.801	100	205.801	3	205.801	0.05					
206.001	238.63	206.001	24.89	206.001	100	206.001	3	206.001	0.05					
206.201	238.5866	206.201	24.89	206.201	100	206.201	3	206.201	0.05					
206.401	238.55	206.401	24.89	206.401	100	206.401	3	206.401	0.05					
206.601	238.53	206.601	24.89	206.601	100	206.601	3	206.601	0.05					
206.801	238.48	206.801	24.89	206.801	100	206.801	3	206.801	0.05					
207.001	238.45	207.001	24.89363	207.001	100	207.001	3	207.001	0.05					
207.201	238.42	207.201	24.9	207.201	100	207.201	3	207.201	0.05					
207.401	238.4	207.401	24.9	207.401	100	207.401	3	207.401	0.05					
207.601	238.38	207.601	24.91	207.601	100	207.601	3	207.601	0.05					
207.801	238.37	207.801	24.91	207.801	100	207.801	3	207.801	0.05					
208.001	238.32	208.001	24.91403	208.001	100	208.001	3	208.001	0.05					
208.2	238.3	208.2	24.92	208.2	100	208.2	3	208.2	0.05					
208.4	238.3	208.4	24.92	208.4	100	208.4	3	208.4	0.05					
208.6	238.28	208.6	24.92	208.6	100	208.6	3	208.6	0.05					
208.8	238.25	208.8	24.92	208.8	100	208.8	3	208.8	0.04					
209	238.22	209	24.92	209	100	209	3	209	0.05					
209.2	238.17	209.2	24.91	209.2	100	209.2	3	209.2	0.07					
209.4	238.14	209.4	24.91	209.4	100	209.4	3	209.4	0.07					
209.6	238.13	209.6	24.91	209.6	100	209.6	3	209.6	0.05					
209.8	238.08	209.8	24.91	209.8	100	209.8	3	209.8	0.05					
210	238.03	210	24.91	210	100	210	3	210	0.05					
